date,attendance,team1,team2,Game Week,team1_goals,team2_goals,total_goals,team1_shots,team2_shots,team1_shots_on_target,team2_shots_on_target,team1_shots_off_target,team2_shots_off_target,team1_corners,team2_corners,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_fouls,team2_fouls,team1_possession,team2_possession,team1_XG,team2_XG,stadium_name
2025-12-21,60180,Morocco,Comoros,Matchday 1,2,0,2,16,4,7,2,9,2,5,0,3,1,0,0,19,20,70,30,2.12,0.48,Stade Moulay Abdallah
2025-12-22,10124,Mali,Zambia,Matchday 1,1,1,2,15,7,5,2,10,5,6,5,1,1,0,0,15,13,53,47,1.61,0.84,Stade Mohamed V
2025-12-22,4013,South Africa,Angola,Matchday 1,2,1,3,10,10,4,4,6,6,1,9,2,2,0,0,17,23,57,43,1.18,1.19,Stade de Marrakech
2025-12-22,28199,Egypt,Zimbabwe,Matchday 1,2,1,3,35,8,11,3,24,5,8,3,2,2,0,0,13,15,77,23,3.65,0.87,Stade d'Agadir
2025-12-23,13073,Congo DR,Benin,Matchday 1,1,0,1,11,12,3,2,8,10,5,5,3,3,0,0,16,11,40,60,1.18,1.14,Stade Al Medina
2025-12-23,18591,Senegal,Botswana,Matchday 1,3,0,3,28,4,17,0,11,4,7,2,1,2,0,0,16,7,68,32,3.44,0.42,Grand Stade de Tanger
2025-12-23,11444,Nigeria,Tanzania,Matchday 1,2,1,3,21,11,11,3,10,8,6,6,1,0,0,0,23,7,59,41,2.45,1.08,Complexe Sportif de Fès
2025-12-23,13387,Tunisia,Uganda,Matchday 1,3,1,4,14,8,6,1,8,7,8,2,1,2,0,0,15,15,49,51,1.72,0.76,Stade Olympique de Rabat
2025-12-24,10267,Burkina,Equatorial Guinea,Matchday 1,2,1,3,16,5,5,1,11,4,9,3,1,1,0,1,16,12,67,33,1.77,0.57,Stade Mohamed V
2025-12-24,16115,Algeria,Sudan,Matchday 1,3,0,3,14,5,7,2,7,3,11,1,0,2,0,1,16,9,58,42,1.74,0.59,Stade Prince Moulay Al Hassan
2025-12-24,13041,Ivory Coast,Mozambique,Matchday 1,1,0,1,15,4,5,2,10,2,9,3,1,2,0,0,17,7,54,46,1.68,0.57,Stade de Marrakech
2025-12-24,35200,Cameroon,Gabon,Matchday 1,1,0,1,13,12,3,2,10,10,9,5,2,1,0,0,16,9,43,57,1.41,1.22,Stade d'Agadir
2025-12-26,5110,Angola,Zimbabwe,Matchday 2,1,1,2,15,17,6,4,9,13,5,6,3,4,0,0,17,24,63,37,1.72,1.56,Stade de Marrakech
2025-12-26,40219,Egypt,South Africa,Matchday 2,1,0,1,6,18,3,6,3,12,4,7,1,3,1,0,10,9,36,64,0.74,2.02,Stade d'Agadir
2025-12-26,7829,Zambia,Comoros,Matchday 2,0,0,0,10,10,0,1,10,9,6,2,2,0,0,0,15,13,47,53,1.04,0.94,Stade Mohamed V
2025-12-26,63844,Morocco,Mali,Matchday 2,1,1,2,15,5,4,1,11,4,6,0,1,8,0,0,15,22,64,36,1.62,0.52,Stade Moulay Abdallah
2025-12-27,7462,Benin,Botswana,Matchday 2,1,0,1,10,5,4,1,6,4,1,1,2,2,0,0,19,20,52,48,1.17,0.61,Stade Olympique de Rabat
2025-12-27,41672,Senegal,Congo DR,Matchday 2,1,1,2,11,7,3,3,8,4,5,2,1,0,0,0,18,12,64,36,1.43,0.84,Grand Stade de Tanger
2025-12-27,10540,Uganda,Tanzania,Matchday 2,1,1,2,14,11,6,2,8,9,7,3,3,2,0,0,16,16,55,45,1.6,1.07,Stade Al Medina
2025-12-27,25544,Nigeria,Tunisia,Matchday 2,3,2,5,15,8,5,2,10,6,4,6,3,0,0,0,18,15,59,41,1.62,1.01,Complexe Sportif de Fès
2025-12-28,9796,Gabon,Mozambique,Matchday 2,2,3,5,16,13,10,5,6,8,4,4,2,2,0,0,11,9,57,43,2.11,1.41,Stade d'Agadir
2025-12-28,8671,Equatorial Guinea,Sudan,Matchday 2,0,1,1,15,13,3,2,12,11,3,3,3,3,0,0,14,10,66,34,1.37,1.15,Stade Mohamed V
2025-12-28,18522,Algeria,Burkina,Matchday 2,1,0,1,10,14,5,2,5,12,2,6,2,3,0,0,24,19,49,51,1.21,1.4,Stade Prince Moulay Al Hassan
2025-12-28,35165,Ivory Coast,Cameroon,Matchday 2,1,1,2,13,12,2,2,11,10,7,3,2,2,0,0,18,15,51,49,1.29,1.14,Stade de Marrakech
2025-12-29,9235,Zimbabwe,South Africa,Matchday 3,2,3,5,10,16,3,9,7,7,3,3,1,1,0,0,14,11,34,66,1.14,1.9,Stade de Marrakech
2025-12-29,16090,Angola,Egypt,Matchday 3,0,0,0,16,5,4,2,12,3,4,2,1,2,0,0,15,11,44,56,1.66,0.7,Stade d'Agadir
2025-12-29,8842,Comoros,Mali,Matchday 3,0,0,0,5,13,1,2,4,11,5,2,3,1,0,1,22,8,32,68,0.54,1.24,Stade Mohamed V
2025-12-29,62532,Zambia,Morocco,Matchday 3,0,3,3,5,19,0,9,5,10,1,5,4,1,1,0,23,12,43,57,0.49,2.29,Stade Moulay Abdallah
2025-12-30,15205,Tanzania,Tunisia,Matchday 3,1,1,2,6,6,2,2,4,4,2,2,3,1,0,0,9,14,36,64,0.74,0.85,Stade Olympique de Rabat
2025-12-30,11545,Uganda,Nigeria,Matchday 3,1,3,4,9,13,1,6,8,7,2,3,1,2,1,0,6,14,28,72,0.79,1.57,Complexe Sportif de Fès
2025-12-30,26707,Benin,Senegal,Matchday 3,0,3,3,7,10,4,6,3,4,4,4,4,1,0,1,20,19,49,51,0.83,1.36,Grand Stade de Tanger
2025-12-30,12569,Botswana,Congo DR,Matchday 3,0,3,3,6,28,1,6,5,22,0,3,0,0,0,0,6,16,45,55,0.56,2.9,Stade Al Medina
2025-12-31,15187,Equatorial Guinea,Algeria,Matchday 3,1,3,4,10,16,3,6,7,10,4,5,4,1,0,0,13,15,45,55,1.11,1.74,Stade Prince Moulay Al Hassan
2025-12-31,10084,Sudan,Burkina,Matchday 3,0,2,2,10,10,1,3,9,7,4,6,0,2,0,0,3,12,39,61,0.84,1.13,Stade Mohamed V
2025-12-31,20833,Gabon,Ivory Coast,Matchday 3,2,3,5,9,21,3,5,6,16,2,8,2,1,0,0,15,19,33,67,0.93,2.08,Stade de Marrakech
2025-12-31,13093,Mozambique,Cameroon,Matchday 3,1,2,3,10,19,2,6,8,13,2,8,0,3,0,0,7,20,52,48,0.9,1.93,Stade d'Agadir
2026-01-03,30045,Senegal,Sudan,Knockout Stage,3,1,4,14,9,9,3,5,6,7,4,2,2,0,0,22,17,67,33,1.95,0.97,Grand Stade de Tanger
2026-01-03,41982,Mali,Tunisia,Knockout Stage,1,1,2,8,13,1,4,7,9,4,11,4,6,1,0,12,29,28,72,0.72,1.53,Stade Mohamed V
