player,position,goals,assists,clean_sheets,yellow_cards,red_cards,Goals + Assists
Aaron Appindangoye,Defender,0,0,0,0,0,0
Aaron Wan-Bissaka,Defender,0,0,1,0,0,0
Abde Ezzalzouli,Midfielder,0,1,5,0,0,1
Abdel Hakim Abdallah,Defender,0,0,2,0,0,0
Abdelhamid Ait Boudlal,Defender,0,0,0,0,0,0
Abdelrazig Omer,Midfielder,0,0,1,0,0,0
Abdelsamad Omer Ahmed,Midfielder,0,0,0,0,0,0
Abdoul Rachid Moumini,Defender,0,0,0,2,0,0
Abdoulaye Diaby,Defender,0,0,1,1,0,0
Abdoulaye Seck,Defender,1,0,2,0,0,1
Abdul Rachid Ayindé,Midfielder,0,0,0,0,0,0
Abobaker Eisa,Midfielder,0,0,0,0,0,0
Aboubacar Ali Abdallah,Forward,0,0,0,0,0,0
Abuaagla Abdalla Mohamed Ahmed,Defender,0,0,0,0,0,0
Achraf Hakimi,Defender,0,1,4,0,0,1
Adam Masina,Defender,0,0,4,0,0,0
Adam Nilday Akimey,Midfielder,0,0,0,0,0,0
Adamo Nagalo,Defender,0,0,1,1,0,0
Adebiyi Marcel Serge Obassa,Goalkeeper,0,0,0,0,0,0
Adem Zorgane,Midfielder,0,0,0,0,0,0
Ademola Lookman,Forward,3,4,4,1,0,7
Adilson Cipriano da Cruz,Goalkeeper,0,0,0,0,0,0
Ahmed Aboel Fettoh,Defender,1,0,1,1,0,1
Ahmed Eid,Defender,0,0,1,0,0,0
Ahmed Mortadha Ben Ouannes,Midfielder,0,0,0,0,0,0
Ahmed Naser Mahmoud Al Shenawy,Goalkeeper,0,0,0,0,0,0
Ahmed Soilihi,Defender,0,0,2,0,0,0
Aïssa Mandi,Defender,0,0,3,0,0,0
Aitor Embela Gil,Goalkeeper,0,0,0,0,0,0
Akor Adams,Forward,2,2,4,0,0,4
Alban Lafont,Goalkeeper,0,0,0,0,0,0
Alec Mudimu,Midfielder,0,0,0,0,0,0
